summary,abstract
"we used optical microscopy to investigate flows inside water rivulets that
were inkjet-printed onto different surfaces and under different ambient
conditions. the acquired fluid dynamics videos were submitted to the 2013
gallery of fluid motion.
",flows in inkjet-printed aqueous rivulets
"we conjecture an extension of the fluid/gravity correspondence to the null
pressureless fluid case via gravitational shockwave solutions, and use it to
propose an embedding of the fluid hopfion in gravity. a nonlinear gravitational
""helicity"" is also proposed, analogous with the helicity of electromagnetism
and fluid dynamics.
",hopfion solutions in gravity and a null fluid/gravity conjecture
"we propose fluid equivalences to compare and reduce behaviour of labeled
fluid stochastic petri nets (lfspns) while preserving their discrete and
continuous properties. we define a linear-time relation of fluid trace
equivalence and its branching-time counterpart, fluid bisimulation equivalence.
both fluid relations take into account the essential features of the lfspns
behaviour: functional activity, stochastic timing and fluid flow. we consider
the lfspns whose continuous markings have no influence to the discrete ones and
whose discrete part is continuous time stochastic petri nets. the underlying
stochastic model for the discrete part of the lfspns is continuous time markov
chains (ctmcs). the performance analysis of the continuous part of lfspns is
accomplished via the associated stochastic fluid models (sfms). we show that
fluid trace equivalence preserves average potential fluid change volume for the
transition sequences of every certain length. we prove that fluid bisimulation
equivalence preserves the aggregated probability functions: stationary
probability mass for the underlying ctmc, as well as stationary fluid buffer
empty probability, fluid density and distribution for the associated sfm.
hence, the equivalence guarantees identity of a number of discrete and
continuous performance measures. fluid bisimulation equivalence is then used to
simplify the qualitative and quantitative analysis of lfspns via quotienting
the discrete reachability graph and underlying ctmc. to describe the quotient
associated sfm, the quotients of the probability functions are defined. we
characterize logically fluid trace and bisimulation equivalences with two novel
fluid modal logics $hml_{flt}$ and $hml_{flb}$, based on the hennessy-milner
logic hml. the application example of a document preparation system
demonstrates the behavioural analysis via quotienting by fluid bisimulation
equivalence.
",behavioural equivalences for fluid stochastic petri nets
"four different fluid model formulations have been recently developed for
$g_t/gi/n+gi$ queues, including a two-parameter fluid model in whitt (2006) by
tracking elapsed service and patience times of each customer, a measure-valued
fluid model in kang and ramanan (2010) and its extension in zu{\~n}iga (2014)
by tracking elapsed service and patience times of each customer, and a
measure-valued fluid model in zhang (2013) by tracking residual service and
patience times of each customer. we show that the two fluid models tracking
elapsed times (whitt's and kang and ramanan's fluid models) are equivalent
formulations for the same $g_t/gi/n+gi$ queue, whereas zu{\~n}iga's fluid model
and zhang's fluid model are not entirely equivalent under general initial
conditions. we then identify necessary and sufficient conditions under which
zu{\~n}iga's fluid model and zhang's fluid model can be derived from each other
for the same system, in which certain measure-valued fluid processes tracking
residual service and patience times of each customer derived from kang-ramanan
and zu{\~n}iga's fluid models play an important role.the equivalence properties
discovered provide important implications for the understanding of the recent
development for non-markovian many-server queues.
",equivalence of fluid models for $g_t/gi/n+gi$ queues
"in this paper i analyze the onset of rayleigh-taylor instability between two
linear viscoelastic fluids assuming that the perturbations at the interface are
small. in the first half, the paper analyzes a stratified viscoelastic fluid in
which i prove that the perturbations rise or fall exponentially without
oscillating. the second half of the paper examines the effect of electric and
magnetic fields on viscoelastic fluids. i show that it is possible to choose
electric or magnetic field gradient such that the effective acceleration due to
gravity is zero. if a heavy newtonian fluid rests on top of a lighter newtonian
fluid such a choice of field gradient would have rendered the arrangement
stable. if the fluids are viscoelastic, i show that a similar arrangement is
unstable.
",rayleigh-taylor instability in viscoelastic fluids
"many microorganisms swim in fluids with complex rheological properties.
although much is now understood about motion of these swimmers in newtonian
fluids, the understanding is still developing in non-newtonian fluids --- this
understanding is crucial for various biomimetic and biomedical applications.
here we study a common model for microswimmers, the squirmer model, in two
common viscoelastic fluid models, the giesekus fluid model and fluids of
differential type (grade three), at zero reynolds number. through this article
we address a recent commentary that discussed suitable values of parameters in
these model and pointed at higher order viscoelastic effects on the squirming
motion.
","a note on higher order perturbative corrections to squirming speed in
  weakly viscoelastic fluids"
"a comment on ``metallization of fluid nitrogen and the mott transition in
highly compressed low-z fluids'' by chau et al, phys. rev. lett. 90, 245501
(2003).
","comment on ""metallization of fluid nitrogen and the mott transition in
  highly compressed low-z fluids"""
"this article describes a fluid dynamics video submission for the 2009 gallery
of fluid motion, division of fluid dynamics, american physical society.
",multiple coexisting states of a falling viscous thread
"it is shown that an effective anisotropic spherically symmetric fluid model
with heat flow can absorb the addition to a perfect fluid of pressure
anisotropy, heat flow, bulk and shear viscosity, electric field and null fluid.
",the fundamental spherically symmetric fluid model
"this paper contains background information for a fluid dynamics video
submitted to the gallery of fluid motion to be held along with the 63rd annual
meeting of the american physical society's division of fluid dynamics.
",steady linked vortices with chaotic streamlines
"this paper contains background information for a fluid dynamics video
submitted to the gallery of fluid motion to be held along with the 63rd annual
meeting of the american physical society's division of fluid dynamics.
",merger of vorticity holes
"review of the book ""thermal convection: patterns, evolution and stability"" by
m. lappa. invited by the journal geophysical and astrophysical fluid dynamics.
","thermal convection: patterns, evolution and stability by m. lappa"
"the behaviour of a high viscosity complex fluid upon impact with a dry solid
surface has been studied. video-based studies show the appearance of secondary
jets for large impact velocities.
",secondary jets from high viscosity complex fluid
"the paper presents analytical solution for hydraulic fracture driven by a
non-newtonian fluid and propagating under plane strain conditions in cross
sections parallel to the fracture front. conclusions are drawn on the influence
of the fluid properties on the fracture propagation.
",pkn problem for non-newtonian fluid
"a key aspect of fluid dynamics is the correct definition of the \textit{%
phase-space} lagrangian dynamics which characterizes arbitrary fluid elements
of an incompressible fluid. apart being an unsolved theoretical problem of
fundamental importance, the issue is relevant to exhibit the connection between
fluid dynamics and the classical dynamical systems underlying incompressible
and non-isothermal fluid, typically founded either on: a) a
\textit{configuration-space} lagrangian description of the dynamics of fluid
elements; b) a kinetic description of the molecular dynamics, based on a
discrete representation of the fluid. the goal of this paper is to show that
the exact lagrangian dynamics can be established based on the inverse kinetic
theory (ikt) for incompressible fluids recently pointed out (ellero \textit{et
al.}, 2004-2006, \cite{ellero2004}). the result is reached by adopting an ikt
approach based on a \textit{restricted phase-space representation} of the
fluid, in which the configuration space coincides with the physical fluid
domain. the result appears of potential importance in applied fluid dynamics
and cfd.
",lagrangian dynamics of incompressible thermofluids
"fluid dynamics video
",hydraulic jump in a nonwetting film deposited inside of a capillary
"this article describes the fluid dynamics video for ""liquid ring"" presented
at the 64th annual meeting of the aps division of fluid dynamics in baltimore,
maryland, november 20-22, 2011.
",liquid ring
"we show that a classical fluid mechanical system can violate bell's
inequality because the fluid motion is correlated over large distances.
",violation of bell's inequality in fluid mechanics
"we shall discuss the general relativistic generation of spikes in a massless
scalar field or stiff perfect fluid model. we first investigate orthogonally
transitive (ot) $g_2$ stiff fluid spike models both heuristically and
numerically, and give a new exact ot $g_2$ stiff fluid spike solution. we then
present a new two-parameter family of non-ot $g_2$ stiff fluid spike solutions,
obtained by the generalization of non-ot $g_2$ vacuum spike solutions to the
stiff fluid case by applying geroch's transformation on a jacobs seed. the
dynamics of these new stiff fluid spike solutions is qualitatively different
from that of the vacuum spike solutions, in that the matter (stiff fluid) feels
the spike directly and the stiff fluid spike solution can end up with a
permanent spike. we then derive the evolution equations of non-ot $g_2$ stiff
fluid models, including a second perfect fluid, in full generality, and briefly
discuss some of their qualitative properties and their potential numerical
analysis. finally, we discuss how a fluid, and especially a stiff fluid or
massless scalar field, affects the physics of the generation of spikes.
",spikes and matter inhomogeneities in massless scalar field models
"surface tension gradients induce marangoni flow, which may be exploited for
fluid transport. at the micrometer scale, these surface-driven flows can be
more significant than those driven by pressure. by introducing fluid-fluid
interfaces on the walls of microfluidic channels, we use surface tension
gradients to drive bulk fluid flows. the gradients are specifically induced
through thermal energy, exploiting the temperature dependence of a fluid-fluid
interface to generate thermocapillary flow. in this report, we provide the
design concept for a biocompatible, thermocapillary microchannel capable of
being powered by solar irradiation. using temperature gradients on the order of
degrees celsius per centimeter, we achieve fluid velocities on the order of
millimeters per second. following experimental observations, fluid dynamic
models, and numerical simulation, we find that the fluid velocity is linearly
proportional to the provided temperature gradient, enabling full control of the
fluid flow within the microchannels.
",thermocapillary-driven fluid flow within microchannels
"an experimental study is reported of the near-critical reflection of internal
gravity waves over sloping topography in a stratified fluid. an overturning
instability close to the slope and triggering the boundary-mixing process is
observed and characterized. these observations are found in good agreement with
a recent nonlinear theory.
","observation of near-critical reflection of internal waves in a stably
  stratified fluid"
"we present theoretical and numerical evidence to show that self-defocusing
nonlinear optical propagation can be used to compute euler fluid dynamics and
possibly navier-stokes fluid dynamics. in particular, the formation of twin
vortices and the k\'arm\'an vortex street behind an obstacle, two well-known
viscous fluid phenomena, is numerically demonstrated using the nonlinear
schr\""odinger equation.
",metaphoric optical computing of fluid dynamics
"we propose a new method to study motions of mixtures in fluid interfaces. we
extend the equations of equilibrium in interfaces and the results associated
with travelling waves for van der waals like fluids. maxwell rule is extended
to interfaces of fluid mixtures out of equilibrium. formulae like clapeyron
relation are obtained for isothermal layers.
",dynamics effects in gradient theory for fluid mixtures
"this article describes a video uploaded to the aps dfd annual meeting 2009
gallery of fluid motion. the video contains both animations and still images
from a three-dimensional volumetric velocimetry measurement set acquired in the
flow around a rushton turbine.
","volumetric 3-component velocimetry measurements of the flow around a
  rushton turbine: a fluid dynamics video"
"this article describes the fluid dynamics video for ""spontaneous vortex
generation at 3-phase contact line"" presented at the 64th annual meeting of the
aps division of fluid dynamics in baltimore, maryland, november 20-22, 2011.
",spontaneous vortex generation at 3-phase contact line
"we show how micro-bubble rings are entrapped under a drop impacting onto a
pool surface. this fluid dynamics video is submitted to the aps dfd gallery of
fluid motion 2012, part of the 65th annual meeting of the american physical
society's division of fluid dynamics (18-20 november, san diego, ca, usa).
",bubble rings entrapment
"the flow of fluids at branching junctions plays important kinematic and
dynamic roles in most biological and industrial flow systems. the present paper
highlights some key issues related to the flow of fluids at these junctions
with special emphasis on the biological flow networks particularly blood
transportation vasculature.
",fluid flow at branching junctions
"high speed schlieren videos were produced highlighting the fluid mechanics
found in everyday objects. this video (entry 102369) was submitted as part of
the gallery of fluid motion 2013, which is a showcase of fluid dynamics videos.
",fluid mechanics of everyday objects
"this is an entry to the gallery of fluid motion at the 66th annual meeting of
the aps-dfd, held november 2013 in pittsburgh, pa. in this fluid dynamics video
we demonstrate distinct features of yield-stress fluid droplets impacting
pre-coated surfaces.
",liquid-solid impacts of yield-stress fluids
"phase diagrams of some globular proteins have a fluid-fluid transition as
well as a fluid-crystal transition. homogeneous nucleation of the crystal from
the fluid phase near the critical point of the fluid-fluid transition is
examined. as the fluid-fluid critical point is approached, the number of
molecules in the critical nucleus, the nucleus at the top of the free energy
barrier to nucleation, is found to diverge as the isothermal compressibility.
this divergence is due to a layer of the fluid phase of width equal to the
fluid's correlation length which surrounds the core of the nucleus; the number
of molecules in a crystalline environment in the nucleus does not diverge. the
free energy barrier to nucleation remains finite but its derivative with
respect to the chemical potential is equal to minus the number of molecules in
the critical nucleus and so diverges.
",nucleation of a non-critical phase in a fluid near a critical point
"an important aspect of computational fluid dynamics is related to the
determination of the fluid pressure in isothermal incompressible fluids. in
particular this concerns the construction of an exact evolution equation for
the fluid pressure which replaces the poisson equation and yields an algorithm
which is a poisson solver, i.e., it permits to time-advance exactly the same
fluid pressure \textit{without solving the poisson equation}% . in fact, the
incompressible navier-stokes equations represent a mixture of hyperbolic and
elliptic pde's, which are extremely hard to study both analytically and
numerically. in this paper we intend to show that an exact solution to this
problem can be achieved adopting the approach based on inverse kinetic theory
(ikt) recently developed for incompressible fluids by ellero and tessarotto
(2004-2007). in particular we intend to prove that the evolution of the fluid
fields can be achieved by means of a suitable dynamical system, to be
identified with the so-called navier-stokes (n-s) dynamical system. as a
consequence it is found that the fluid pressure obeys a well-defined evolution
equation. the result appears relevant for the construction of lagrangian
approaches to fluid dynamics.
",exact pressure evolution equation for incompressible fluids
"a key issue in fluid dynamics is the definition of the phase-space lagrangian
dynamics characterizing prescribed ideal fluids (i.e., continua), which is
related to the dynamics of so-called \textit{ideal tracer particles} moving in
the same fluids. these are by definition particles of infinitesimal size which
do not produce significant perturbations of the fluid fields and do not
interact among themselves. in this work we point out that the phase-space
lagrangian description of incompressible navier-stokes fluids can be achieved
by means of a particular subset of ideal tracer particles, denoted as thermal
particles. for these particles the magnitude of their relative velocities -
with respect to the local fluid velocity - is solely determined by the kinetic
pressure, in turn, uniquely related to the fluid pressure. the dynamics of
thermal tracer particles is shown to generate the time-evolution of the fluid
fields by means of a suitable statistical model. the result is reached
introducing a 1-d statistical description of the fluid exclusively based on the
ensemble of thermal tracer particles. in particular, it is proven that the
statistic of thermal particles can be uniquely defined requiring that for these
particles the directions of their initial relative velocities are defined by a
suitable family of random coplanar unit vectors.
",lagrangian dynamics of thermal tracer particles in navier-stokes fluids
"this paper concerns the dynamics of two layers of compressible, barotropic,
viscous fluid lying atop one another. the lower fluid is bounded below by a
rigid bottom, and the upper fluid is bounded above by a trivial fluid of
constant pressure. this is a free boundary problem: the interfaces between the
fluids and above the upper fluid are free to move. the fluids are acted on by
gravity in the bulk, and at the free interfaces we consider both the case of
surface tension and the case of no surface forces. we establish a sharp
nonlinear global-in-time stability criterion and give the explicit decay rates
to the equilibrium. when the upper fluid is heavier than the lower fluid along
the equilibrium interface, we characterize the set of surface tension values in
which the equilibrium is nonlinearly stable. remarkably, this set is non-empty,
i.e. sufficiently large surface tension can prevent the onset of the
rayleigh-taylor instability. when the lower fluid is heavier than the upper
fluid, we show that the equilibrium is stable for all non-negative surface
tensions and we establish the zero surface tension limit.
","the compressible viscous surface-internal wave problem: stability and
  vanishing surface tension limit"
"the rimming flow of a viscoelastic thin film inside a rotating horizontal
cylinder is studied theoretically. attention is given to the onset of
non-newtonian free-surface instability in creeping flow. this non-inertial
instability has been observed in experiments, but current theoretical models of
newtonian fluids can neither describe its origin nor explain its onset. this
study examines two models of non newtonian fluids to see if the experimentally
observed instability can be predicted analytically. the non-newtonian viscosity
and elastic properties of the fluid are described by the generalized newtonian
fluid (gnf) and second order viscoelastic fluid (sovf) constitutive models,
respectively. with linear stability analysis, it is found that, analogously to
the newtonian fluid, rimming flow of viscous non-newtonian fluids (modeled by
gnf) is neutrally stable. however, the viscoelastic properties of the fluid
(modeled by sovf) are found to contribute to the flow destabilization. the
instability is shown to increase as the cylinder rotation rate is lowered, from
which the fluid accumulates in a pool on the rising wall. viscoelastic effects
coupled with this pooling cause the fluid's angular stretching, which is
suggested to be responsible for this onset of instability.
",stability analysis of non-newtonian rimming flow
"we consider a computational model for complex-fluid-solid interaction based
on a diffuse-interface model for the complex fluid and a hyperelastic-material
model for the solid. the diffuse-interface complex-fluid model is described by
the incompressible navier-stokes-cahn-hilliard equations with
preferential-wetting boundary conditions at the fluid-solid interface. the
corresponding fluid traction on the interface includes a capillary-stress
contribution, and the dynamic interface condition comprises the traction
exerted by the non-uniform fluid-solid surface tension. we present a weak
formulation of the aggregated complex-fluid-solid-interaction problem, based on
an arbitrary-lagrangian-eulerian formulation of the navier-stokes-cahn-hilliard
equations and a proper reformulation of the complex-fluid traction and the
fluid-solid surface tension. to validate the presented
complex-fluid-solid-interaction model, we present numerical results and conduct
a comparison to experimental data for a droplet on a soft substrate.
","elasto-capillarity simulations based on the navier-stokes-cahn-hilliard
  equations"
"particle-in-cell (pic) methods are widely used computational tools for fluid
and kinetic plasma modeling. while both the fluid and kinetic pic approaches
have been successfully used to target either kinetic or fluid simulations,
little was done to combine fluid and kinetic particles under the same pic
framework. this work addresses this issue by proposing a new pic method,
polypic, that uses polymorphic computational particles. in this numerical
scheme, particles can be either kinetic or fluid, and fluid particles can
become kinetic when necessary, e.g. particles undergoing a strong acceleration.
we design and implement the polypic method, and test it against the landau
damping of langmuir and ion acoustic waves, two stream instability and sheath
formation. we unify the fluid and kinetic pic methods under one common
framework comprising both fluid and kinetic particles, providing a tool for
adaptive fluid-kinetic coupling in plasma simulations.
","polypic: the polymorphic-particle-in-cell method for fluid-kinetic
  coupling"
"we study the boundary conditions at a fluid-solid interface using molecular
dynamics simulations covering a broad range of fluid-solid interactions and
fluid densities, and both simple and chain-molecule fluids. the slip length is
shown to be independent of the type of flow, but rather is related to the fluid
organization near the solid, as governed by the fluid-solid molecular
interactions.
",boundary conditions at a fluid - solid interface
"the role of a matrix response to a fluid insertion is analyzed in terms of a
perturbation theory and monte carlo simulations applied to a hard sphere fluid
in a slit of fluctuating density-dependent width.
  it is demonstrated that a coupling of the fluid-slit repulsion, spatial
confinement and the matrix dilatation acts as an effective fluid-fluid
attraction, inducing a pseudo-critical state with divergent linear
compressibility and non-critical density fluctuations. an appropriate
combination of the dilatation rate, fluid density and the slit size leads to
the fluid states with negative linear compressibility. it is shown that the
switching from positive to negative compressibility is accompanied by an abrupt
change in the packing mechanism.
",negative linear compressibility in confined dilatating systems
"the dynamics of the fluid fields in a large class of causal dissipative fluid
theories is studied. it is shown that the physical fluid states in these
theories must relax (on a time scale that is characteristic of the microscopic
particle interactions) to ones that are essentially indistinguishable from the
simple relativistic navier-stokes descriptions of these states. thus, for
example, in the relaxed form of a physical fluid state the stress energy tensor
is in effect indistinguishable from a perfect fluid stress tensor plus small
dissipative corrections proportional to the shear of the fluid velocity, the
gradient of the temperature, etc.
",the relaxation effect in dissipative relativistic fluid theories
"it is shown that dynamics of the interface between ideal fluid and light
viscous fluid is exactly integrable in the approximation of small surface
slopes for two-dimensional flow. stokes flow of viscous fluid provides a
relation between normal velocity and pressure at interface. surface elevation
and velocity potential of ideal fluid are determined from two complex burgers
equations corresponding to analytical continuation of velocity potential at the
interface into upper and lower complex half planes, respectively. the interface
loses its smoothness if complex singularities (poles) reach the interface.
","exactly integrable dynamics of interface between ideal fluid and light
  viscous fluid"
"when immiscible wetting and non-wetting fluids move in parallel in a porous
medium, an instability may occur at sufficiently high capillary numbers so that
interfaces between the fluids initially held in place by the porous medium are
mobilized. a boundary zone containing bubbles of both fluids evolve which has a
well defined thickness. this zone moves at constant average speed towards the
non-wetting fluid. a diffusive current of bubbles of non-wetting fluid into the
wetting fluid is set up.
","capillary-driven instability of immiscible fluid interfaces flowing in
  parallel in porous media"
"fluid cosmologies are consistent with the generally accepted observational
evidence during intermediate and late times, and they need not have singular
behavior in primordial times. a general form for fluid cosmology consistent
with einstein's equation is demonstrated, and a dynamic metric that
incorporates fluid scale is developed. the large scale causal structure of a
multi-fluid cosmology exemplary of standard cosmology is then examined. this is
done through developing coupled rate equations for radiation, dust, and dark
components. the beginning of the dissolution of the primordial fluid into the
other components is singularity-free, since the fluid provides a non-vanishing
scale for the cosmology. penrose diagrams are developed for cosmologies both
with and without a final state dark energy density.
",global structure of a multi-fluid cosmology
"here we show how an anisotropic fluid in the diffusion limit can be
equivalent to an isotropic fluid in the streaming out limit, in spherical
symmetry. for a particular equation of state this equivalence is total, from
one fluid we can obtain the other and vice versa. a numerical master model is
presented, based on a generic equation of state, in which only quantitative
differences are displayed between both nonadiabatic fluids. from a deeper view,
other difference between fluids is shown as an asymmetry that can be overcome
if we consider the appropriate initial-boundary conditions. equivalence in this
context can be considered as a first order method of approximation to study
dissipative fluids.
",on the equivalence of nonadiabatic fluids
"the effects of fluid elasticity on the swimming behavior of the nematode
\emph{caenorhabditis elegans} are experimentally investigated by tracking the
nematode's motion and measuring the corresponding velocity fields. we find that
fluid elasticity hinders self-propulsion. compared to newtonian solutions,
fluid elasticity leads to 35% slower propulsion speed. furthermore,
self-propulsion decreases as elastic stresses grow in magnitude in the fluid.
this decrease in self-propulsion in viscoelastic fluids is related to the
stretching of flexible molecules near hyperbolic points in the flow.
",undulatory swimming in viscoelastic fluids
"for inviscid fluid flow in any n-dimensional riemannian manifold, new
conserved vorticity integrals generalizing helicity, enstrophy, and entropy
circulation are derived for lower-dimensional surfaces that move along fluid
streamlines. conditions are determined for which the integrals yield constants
of motion for the fluid. in the case when an inviscid fluid is isentropic,
these new constants of motion generalize kelvin's circulation theorem from
closed loops to closed surfaces of any dimension.
","new conserved vorticity integrals for moving surfaces in
  multi-dimensional fluid flow"
"we have studied the effective slip length of confined fluid with
nano-structured fluid-solid interfaces. a formula bridging the effective slip
length and nano structures of the interfaces has been obtained analytically.
for the application of the formula, a confined fluid with wavy fluid-solid
interfaces has been studied as an example. in the study, the criteria of the
formula have been detailed, and verified by the finite element method.
",effective slip length of confined fluid with wavy fluid-solid interfaces
"particle motion in non-newtonian fluids can be markedly different than in
newtonian fluids. here we look at the change in dynamics for a few problems
involving rigid spherical particles in shear-thinning fluids in the absence of
inertia. we give analytical formulas for sedimenting spheres, obtained by means
of the reciprocal theorem, and demonstrate quantitively differences in
comparison to a newtonian fluid. we also calculate the first correction to the
suspension viscosity, the einstein viscosity, for a dilute suspension of
spheres in a weakly shear-thinning fluid.
",dynamics and rheology of particles in shear-thinning fluids
"rayleigh-taylor instability occurs when a heavier fluid overlies a lighter
fluid, and the two seek to exchange positions under the effect of gravity. we
present linearized theory for arbitrary 3d initial disturbances that grow in
time, and calculate the evolution of the interface for early times. a new
spectral method is introduced for the fully 3d non-linear problem in a
boussinesq fluid, where the interface between the light and heavy fluid is
approximated with a smooth but rapid density change in the fluid. the results
of large-scale numerical calculation are presented in fully 3d geometry,
compared and contrasted with the early-time linearized theory.
",fully 3d rayleigh-taylor instability in a boussinesq fluid
"the success of spectroscopy to characterise equilibrium fluids, for example
the heat capacity ratio, suggests a parallel approach for active fluids. here,
we start from a hydrodynamic description of chiral active fluids composed of
spinning constituents and derive their low-frequency, long-wavelength response
functions using the kadanoff-martin formalism. we find that the presence of odd
(equivalently, hall) viscosity leads to mixed density-vorticity response even
at linear order. such response, prohibited in time-reversal-invariant fluids,
is a large-scale manifestation of the microscopic breaking of time-reversal
symmetry. our work suggests possible experimental probes that can measure
anomalous transport coefficients in active fluids through dynamic light
scattering.
",hydrodynamic correlation functions of chiral active fluids
"we analyse a problem of a hydraulic fracture driven by a non-newtonian
shear-thinning fluid. fluid viscosity is described by the four-parameter
truncated power-law model. by varying the parameters of the rheological model
we investigate spatial and temporal evolution of fluid flow inside the crack
and the resulting fracture geometry. a detailed quantitative and qualitative
analysis of the underlying physical phenomena is delivered. the results
demonstrate that rheological properties of fluids significantly affect the
process of hydraulic fracture not only by the values of viscosity, but also by
the range of fluid shear rates over which variation of viscosity occurs.
",on the influence of fluid rheology on hydraulic fracture
